DN,objectClass,sAMAccountName,sn,givenName,userPrincipalName,userAccountControl
"cn=Rigó Sarolta,ou=központ,dc=teszt,dc=hu",user,rigsa,Rigó,Sarolta,rigsa@kft.hu,8389152
"cn=Tompos Gyula,ou=központ,dc=teszt,dc=hu",user,tomgy,Tompos,Gyula,tomgy@kft.hu,8389152
"cn=Truppel Imre,ou=központ,dc=teszt,dc=hu",user,truim,Truppel,Imre,truim@kft.hu,8389152
"cn=Mihály Ibolya,ou=központ,dc=teszt,dc=hu",user,mihib,Mihály,Ibolya,mihib@kft.hu,8389152
"cn=Dobos Krisztián,ou=központ,dc=teszt,dc=hu",user,dobkr,Dobos,Krisztián,dobkr@kft.hu,8389152
"cn=Petrus Katalin,ou=központ,dc=teszt,dc=hu",user,petka,Petrus,Katalin,petka@kft.hu,8389152
"cn=Nagy Nikolett,ou=központ,dc=teszt,dc=hu",user,nagni,Nagy,Nikolett,nagni@kft.hu,8389152
"cn=Bagó Zsuzsa,ou=központ,dc=teszt,dc=hu",user,bagzs,Bagó,Zsuzsa,bagzs@kft.hu,8389152
"cn=Csicsay Edit,ou=központ,dc=teszt,dc=hu",user,csied,Csicsay,Edit,csied@kft.hu,8389152
"cn=Botka Edina,ou=központ,dc=teszt,dc=hu",user,boted,Botka,Edina,boted@kft.hu,8389152
"cn=Hegedûs Zsolt,ou=központ,dc=teszt,dc=hu",user,hegzs,Hegedûs,Zsolt,hegzs@kft.hu,8389152
"cn=Valicsek Antal,ou=központ,dc=teszt,dc=hu",user,valan,Valicsek,Antal,valan@kft.hu,8389152
"cn=Nagy Etelka,ou=központ,dc=teszt,dc=hu",user,naget,Nagy,Etelka,naget@kft.hu,8389152
"cn=Hebrank Erzsébet,ou=központ,dc=teszt,dc=hu",user,heber,Hebrank,Erzsébet,heber@kft.hu,8389152
"cn=Ivicz Anna,ou=központ,dc=teszt,dc=hu",user,ivian,Ivicz,Anna,ivian@kft.hu,8389152
"cn=Madari Ilona,ou=központ,dc=teszt,dc=hu",user,madil,Madari,Ilona,madil@kft.hu,8389152
"cn=Antal Ernõ,ou=központ,dc=teszt,dc=hu",user,anter,Antal,Ernõ,anter@kft.hu,8389152
"cn=Farkas Ibolya,ou=központ,dc=teszt,dc=hu",user,farib,Farkas,Ibolya,farib@kft.hu,8389152
"cn=Kovács Csaba,ou=központ,dc=teszt,dc=hu",user,kovcs,Kovács,Csaba,kovcs@kft.hu,8389152
"cn=Havasi Rita,ou=központ,dc=teszt,dc=hu",user,havri,Havasi,Rita,havri@kft.hu,8389152
"cn=Karsay Nikolett,ou=központ,dc=teszt,dc=hu",user,karni,Karsay,Nikolett,karni@kft.hu,8389152
"cn=Farkas Edina,ou=központ,dc=teszt,dc=hu",user,fared,Farkas,Edina,fared@kft.hu,8389152
"cn=Stezák Mihály,ou=központ,dc=teszt,dc=hu",user,stemi,Stezák,Mihály,stemi@kft.hu,8389152
"cn=Huber Zoltán,ou=központ,dc=teszt,dc=hu",user,hubzo,Huber,Zoltán,hubzo@kft.hu,8389152
"cn=Szubanek Gabriella,ou=központ,dc=teszt,dc=hu",user,szuga,Szubanek,Gabriella,szuga@kft.hu,8389152
"cn=Erdõs Mihály,ou=központ,dc=teszt,dc=hu",user,erdmi,Erdõs,Mihály,erdmi@kft.hu,8389152
"cn=Papp István,ou=központ,dc=teszt,dc=hu",user,papis,Papp,István,papis@kft.hu,8389152
"cn=Lukács Zsolt,ou=központ,dc=teszt,dc=hu",user,lukzs,Lukács,Zsolt,lukzs@kft.hu,8389152

